DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
AJO DOYPACK 215GR;7.86102E+12;LA ESPAﾑOLA;UND;0.72;MILAGRO
AJO EN POLVO 50GR ILE SOBRE x12U;7.86102E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
AJO ILE 500GR BOTELLA X24U;7.86102E+12;LA ESPAﾑOLA;UND;1.72;MILAGRO
AJO ILE BOT.320GR;7.86102E+12;LA ESPAﾑOLA;UND;1.3;MILAGRO
AJO VASO No 12      X24U;7.86102E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AJO VASO No8   X24U;7.86102E+12;LA ESPAﾑOLA;UND;0.71;MILAGRO
ALINO ILE BOT.320GR;7.86102E+12;LA ESPAﾑOLA;UND;1;MILAGRO
ALINO VASO N.12   X24U z;7.86102E+12;LA ESPAﾑOLA;UND;0.99;MILAGRO
ALINO VASO N.8   X24U;7.86102E+12;LA ESPAﾑOLA;UND;0.5;MILAGRO
ALIﾃ前 190GR VASO #9  X24U z;7.86102E+12;LA ESPAﾑOLA;UND;0.87;MILAGRO
ALIﾃ前 BOTELLA 1KG ILE  X12U;7.86102E+12;LA ESPAﾑOLA;UND;2.82;MILAGRO
ALIﾃ前 BOTELLA 500GR ILE X24U;7.86102E+12;LA ESPAﾑOLA;UND;1.31;MILAGRO
ALIﾃ前 ILE 215GR DOYPACK X60U;7.86102E+12;LA ESPAﾑOLA;UND;0.5;MILAGRO
ALIﾃ前 ILE 25GR SACH TIR 20TX20U;7.86102E+12;LA ESPAﾑOLA;TIR;1.62;MILAGRO
ALIﾃ前 ILE 430GR DOYPACK X40U;7.86102E+12;LA ESPAﾑOLA;UND;0.9;MILAGRO
ALIﾃ前 ILE 70GR TIRA  X12U;7.86102E+12;LA ESPAﾑOLA;TIR;2.43;MILAGRO
AJAX BICARB NARANJA LIMON X1000ML;7.70201E+12;LA ESPAﾑOLA;UND;2.2;MILAGRO
ACEITE LIV GIRASOL/AGUACATE 250 ML;7.86212E+12;LA ESPAﾑOLA;UND;2.99;MILAGRO
ACEITE LIV GIRASOL/COCO 250 ML;7.86212E+12;LA ESPAﾑOLA;UND;3.25;MILAGRO
AGUA TRU TP 1LT X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.41;MILAGRO
ACEITE GUSTISIMO GIRASOL 15 X 900 ML;7.86213E+12;LA ESPAﾑOLA;UND;2.93;MILAGRO
AJINOMOTO AMARILLO 12PX15UX100GR;7.86105E+12;LA ESPAﾑOLA;UND;0.79;MILAGRO
AJINOMOTO KILO 18U;7.86105E+12;LA ESPAﾑOLA;UND;5.03;MILAGRO
AJINOMOTO ROJO  18PX50UX20GR;7.86105E+12;LA ESPAﾑOLA;UND;0.2;MILAGRO
AJINOMOTO SOB.CHICO  X100U;7.86105E+12;LA ESPAﾑOLA;UND;1.75;MILAGRO
AJINOMOTO VERDE   12PX30UX50GR;7.86105E+12;LA ESPAﾑOLA;UND;0.46;MILAGRO
ANTORCHA ANTIMOSQUITO X3U REP.;7.8621E+12;LA ESPAﾑOLA;PAQ;4.16;MILAGRO
AGOGO 10U MENTA COOL GDE X40P;7.86101E+12;LA ESPAﾑOLA;PAQ;3.18;MILAGRO
AGOGO 300u BOLA CHICA x26F;7.86101E+12;LA ESPAﾑOLA;FUN;2.21;MILAGRO
AGOGO ACILIQUIDO MIX;7.86101E+12;LA ESPAﾑOLA;PAQ;2.98;MILAGRO
AGOGO BOLA GIGANTE    28FX50U;7.86101E+12;LA ESPAﾑOLA;FUN;2.21;MILAGRO
AGOGO C/LIQ SURT 40U DISP X16P;7.86101E+12;LA ESPAﾑOLA;PAQ;3;MILAGRO
AGOGO C/POLVO SURT 30P X40U;7.86101E+12;LA ESPAﾑOLA;PAQ;3.25;MILAGRO
AGOGO FRESA GR.X10X40PX345GR.;7.86101E+12;LA ESPAﾑOLA;PAQ;3.18;MILAGRO
AGOGO GDE X6 FRESA 30P;7.86101E+12;LA ESPAﾑOLA;PAQ;3.08;MILAGRO
AGOGO GOL GDE. X6U T/ FRUTTI X30P;7.86101E+12;LA ESPAﾑOLA;PAQ;3.06;MILAGRO
AGOGO GOOL TUTTI FRUTTI GDE X10X15X40P.;7.86101E+12;LA ESPAﾑOLA;PAQ;3.18;MILAGRO
AGOGO TUTTI/FRUTTI GR.X10X40PX330GR.;7.86101E+12;LA ESPAﾑOLA;PAQ;3.18;MILAGRO
AGOGO X6U MENTA COOL 30P;7.86101E+12;LA ESPAﾑOLA;PAQ;3.08;MILAGRO
AGOGO X6U TUTTI FRUTTI 30P;7.86101E+12;LA ESPAﾑOLA;PAQ;2.98;MILAGRO
ALMENDRA FRANCESA SURT;9789030222;LA ESPAﾑOLA;FUN;2.16;MILAGRO
ANGELITOS CELESTE 335 GR;7.60203E+11;LA ESPAﾑOLA;FUN;2.23;MILAGRO
ANGELITOS CHOCOLATE 335 GR;7.60203E+11;LA ESPAﾑOLA;FUN;2.23;MILAGRO
ANGELITOS COLOR 200GR;7.60203E+11;LA ESPAﾑOLA;FUN;1.36;MILAGRO
ANGELITOS COLOR 335 GR;7.60203E+11;LA ESPAﾑOLA;FUN;2.23;MILAGRO
ANGELITOS FLORES 200GR;7.60203E+11;LA ESPAﾑOLA;FUN;1.36;MILAGRO
ANGELITOS FRESA 335 GR;7.60203E+11;LA ESPAﾑOLA;FUN;2.23;MILAGRO
ANGELITOS TIRA 18 TX24U;7.60203E+11;LA ESPAﾑOLA;TIR;2.11;MILAGRO
ANGELITOS TORNADO 30GR;7.60203E+11;LA ESPAﾑOLA;FUN;0.21;MILAGRO
AMANCAY 100GR CABELLO ANGEL X50U;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR CANASTA CHICA X50U;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR CANASTA/MED X50U;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR FINO;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR LAZO 900;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR MACARRON;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
