DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
AC. TIO HIDRAT. COCO 415ML;7.79814E+12;LA ESPAﾑOLA;UND;7.91;MILAGRO
AC. TIO NACHO ACLARANTE 415ML;6.5024E+11;LA ESPAﾑOLA;UND;7.91;MILAGRO
AC. TIO NACHO ENGROSADOR 415ML;6.5024E+11;LA ESPAﾑOLA;UND;7.91;MILAGRO
AMPLIURINA FORTE  5T X10U;7861148010121T;LA ESPAﾑOLA;TIR;2.5;MILAGRO
ANALGAN 1 GR.    2T X10U;09AN-Tira;LA ESPAﾑOLA;TIR;2.23;MILAGRO
ALGODON 125GR CLEAN UP  X150U;125;LA ESPAﾑOLA;UND;1.28;MILAGRO
APANADURA 200GR MARCE  X24U;7.8621E+12;LA ESPAﾑOLA;UND;0.97;MILAGRO
AC. DIVINE ONE COCO 500 ML X36U;7.86212E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AC. DIVINE ONE DURAZNO 500 ML X36U;7.86212E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AC. DIVINE ONE FRUTILLA 500 ML X36U;7.86212E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AC. DIVINE ONE MANZANA 500 ML X36U;7.86212E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AC. DIVINE ONE SANDIA 500 ML X36U;7.86212E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AMPOLLA PREV. CAIDA CHOCOLIFE X8U;7.86212E+12;LA ESPAﾑOLA;UND;3.08;MILAGRO
AFEITADORA DORCO X12U;8.80104E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ACEITE ROJO FULLCLEAN X260ML;7.86211E+12;LA ESPAﾑOLA;UND;1.7;MILAGRO
ALCOHOL F.CLEAN  20 LT LIQUIDO;1570;LA ESPAﾑOLA;UND;42.1;MILAGRO
ALCOHOL F.CLEAN 1LT    X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.46;MILAGRO
ALCOHOL F.CLEAN 250 CC X15U;7.86211E+12;LA ESPAﾑOLA;UND;1.18;MILAGRO
ALCOHOL F.CLEAN 4LT X5U;7.86211E+12;LA ESPAﾑOLA;UND;8.11;MILAGRO
ALCOHOL F.CLEAN 500 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;1.66;MILAGRO
ALCOHOL F.CLEAN SPRAY 120 ML X40U;7.86211E+12;LA ESPAﾑOLA;UND;1.11;MILAGRO
ALCOHOL F.CLEAN SPRAY 1LT X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.93;MILAGRO
ALCOHOL F.CLEAN SPRAY 250 ML X24U;7.86211E+12;LA ESPAﾑOLA;UND;1.44;MILAGRO
ALCOHOL F.CLEAN SPRAY 500 ML X24U;7.86211E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ALCOHOL GEL F.CLEAN 250 CC X15U;7.86211E+12;LA ESPAﾑOLA;UND;1.33;MILAGRO
ALCOHOL GEL F.CLEAN 2LT X8U;7.86211E+12;LA ESPAﾑOLA;UND;6.37;MILAGRO
ALCOHOL GEL F.CLEAN 4LT X4U  VALVULA;7.86211E+12;LA ESPAﾑOLA;UND;16.27;MILAGRO
ALCOHOL GEL F.CLEAN 500 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;4.08;MILAGRO
APANADURA DORADITA 250 GR MODERNA;7.86106E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
APANADURA DORADITA 500GR MODERNA;7.86106E+12;LA ESPAﾑOLA;UND;1.38;MILAGRO
ALIﾃ前 200 GR CAPRY DPACK X48U;7.86108E+12;LA ESPAﾑOLA;UND;0.46;MILAGRO
"AGUA 300ML ""MY WATER"" X12U";7.868E+12;LA ESPAﾑOLA;UND;0.14;MILAGRO
AGUA 600 ML MY WATER X24;7.868E+12;LA ESPAﾑOLA;UND;0.15;MILAGRO
"AGUA 600ML ""MY WATER"" X20U";7.868E+12;LA ESPAﾑOLA;UND;0.16;MILAGRO
AGUA GALON  4LT MY WATER;7.868E+12;LA ESPAﾑOLA;UND;0.62;MILAGRO
APETITOL JALEA NARANJA PROMO 1+1;7.86109E+12;LA ESPAﾑOLA;UND;5.7;MILAGRO
ADEREZO S/TOMATE 100GR MAGGI SACHET;7.861E+12;LA ESPAﾑOLA;UND;0.68;MILAGRO
AMOR 100GR CHOCOLATE X60U NESTLE;7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
AMOR 100GR FRESA X60U NESTLE;7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
AMOR 100GR LIMON;7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
AMOR 100GR NARANJA;7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
AMOR 175GR CHOCOLATE X36U NESTLE;7.86109E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
AMOR 175GR CLASICA;7.86109E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
AMOR 175GR FRESA;7.86109E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
AMOR 175GR NARANJA;7.86109E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
AMOR 175GR VAINILLA;7.86109E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
AMOR 699gr FAMILIAR(P2/LL3)X8PAQ;7.86109E+12;LA ESPAﾑOLA;PAQ;3.07;MILAGRO
AMOR CHOCOL 233GR NESTLE X26U;7.86109E+12;LA ESPAﾑOLA;UND;1.93;MILAGRO
AMOR CLASICA X100GR. X60U.(NESTLE);7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
AMOR DC AVELLANA 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.92;MILAGRO
AMOR DC CHOCO-FRESA 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.27;MILAGRO
AMOR DC CHOCO-FRESA 208GR X22U;7.86109E+12;LA ESPAﾑOLA;UND;3.29;MILAGRO
AMOR DC CHOCOLATE 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.16;MILAGRO
AMOR DC COCO 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.13;MILAGRO
AMOR DC FRESA 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.16;MILAGRO
AMOR DC LECHE 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.31;MILAGRO
AMOR DC LECHE-CHOCO  130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.27;MILAGRO
AMOR DC LIMON- COCO 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.27;MILAGRO
AMOR DC VAINILLA 130 GR X48U;7.86109E+12;LA ESPAﾑOLA;UND;1.13;MILAGRO
AMOR MINI CHOCOLATE 56X40G;7.86109E+12;LA ESPAﾑOLA;UND;0.41;MILAGRO
AMOR MINI PEKES 56X40G;7.86109E+12;LA ESPAﾑOLA;UND;0.41;MILAGRO
AMOR PAQ 8U CHOCOLATE 22P X180GR;7.86109E+12;LA ESPAﾑOLA;PAQ;2.38;MILAGRO
AMOR PAQ X8U CLASICA  22P X180GR;7.86109E+12;LA ESPAﾑOLA;PAQ;2.38;MILAGRO
AMOR PAQ X8U FRESA X22P X180GR;7.86109E+12;LA ESPAﾑOLA;PAQ;2.38;MILAGRO
AMOR PAQ X8U VAINILLA  X22P X180GR;7.86109E+12;LA ESPAﾑOLA;PAQ;2.38;MILAGRO
AMOR PEKES X130GR X54U;7.86109E+12;LA ESPAﾑOLA;UND;1.22;MILAGRO
AMOR PEKES X8U(22P 204GR);7.86109E+12;LA ESPAﾑOLA;PAQ;2.68;MILAGRO
AMOR VAINILLA X100GR X60U;7.86109E+12;LA ESPAﾑOLA;UND;0.85;MILAGRO
ACEITE CORPORAL 60 ML  X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.9;MILAGRO
ADOBO RICO SABOR 200GR;7.86101E+12;LA ESPAﾑOLA;UND;1;MILAGRO
AGUA MANA 1LT X12U;7.86101E+12;LA ESPAﾑOLA;UND;0.4;MILAGRO
AGUA MANA 5 LT X 4U;7.86101E+12;LA ESPAﾑOLA;UND;1.17;MILAGRO
AGUA MANA 500ML X15U;7.86101E+12;LA ESPAﾑOLA;UND;0.28;MILAGRO
AJI 100GR ORIENTAL   X24U;7.86101E+12;LA ESPAﾑOLA;UND;0.73;MILAGRO
AJI 100ML ORIENTAL X48U;7.86101E+12;LA ESPAﾑOLA;UND;0.73;MILAGRO
AJI 200GR ORIENTAL X24U.;7.86101E+12;LA ESPAﾑOLA;UND;1.32;MILAGRO
AJI ORIENTAL GALON X6U;7.86101E+12;LA ESPAﾑOLA;UND;12.92;MILAGRO
AGUA 1 LT PORTENTA   X12;10AP1L-U;LA ESPAﾑOLA;UND;0.41;MILAGRO
AGUA 600 ML PORTENTA X24;786800;LA ESPAﾑOLA;UND;0.21;MILAGRO
AGUA GALON  4 LT PORTENTA x 12U;7.868E+12;LA ESPAﾑOLA;UND;0.77;MILAGRO
ALCOHOL ANTSEPT ULTRACOL 1.000 ml;7.868E+12;LA ESPAﾑOLA;UND;2.72;MILAGRO
ALCOHOL ANTSEPT. ULTRACOL 3.785Ml;7.868E+12;LA ESPAﾑOLA;UND;8.11;MILAGRO
APANADURA LIBRAS LA ESPAﾃ前LA;2.00011E+12;LA ESPAﾑOLA;LIB;0.5;MILAGRO
AJI MOLIDO D.JOAQUIN 105GR X35U;7.86212E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AGUA  FONTANA 3.78 LT;1.23457E+11;LA ESPAﾑOLA;UND;0.77;MILAGRO
AGUA 600ML FONTANA X15U;7.868E+12;LA ESPAﾑOLA;UND;0.2;MILAGRO
APANADURA LIBRAS DANDY;1093;LA ESPAﾑOLA;LIB;0.5;MILAGRO
AJI SUPREMO 2LT  X25U;13AS2-U;LA ESPAﾑOLA;UND;3.73;MILAGRO
AJI SUPREMO 300GR X30U;7.861E+12;LA ESPAﾑOLA;UND;0.74;MILAGRO
AJI SUPREMO 500GR X50U;7.861E+12;LA ESPAﾑOLA;UND;1;MILAGRO
AJI SUPREMO GALON  X8U;7.861E+12;LA ESPAﾑOLA;UND;7.29;MILAGRO
ALIﾃ前 SUPREMO 500GR x 50U;7.861E+12;LA ESPAﾑOLA;UND;1;MILAGRO
ARETES VARIADOS PQ X12U;07AR-Und.;LA ESPAﾑOLA;UND;1.03;MILAGRO
A.ARBOLITO 175 ML X50U;8.00409E+12;LA ESPAﾑOLA;UND;2.5;MILAGRO
A.ARBOLITO 500GR GRDE.;8.00409E+12;LA ESPAﾑOLA;UND;6.14;MILAGRO
ACEI ARBOLITO 250GR DE OLIVA  X50U;8.00409E+12;LA ESPAﾑOLA;UND;5.75;MILAGRO
ACEITE OLIVA EXTRA VIRGEN RS JARRA 250ML;8.4207E+12;LA ESPAﾑOLA;UND;4.21;MILAGRO
ACEITE OLIVA RS JARRA 250ML;8.4207E+12;LA ESPAﾑOLA;UND;5.8;MILAGRO
APRONAX 550 MG   2TX10U;09AP5N;LA ESPAﾑOLA;TIR;4.45;MILAGRO
ANILLOS TIRA;05ANT;LA ESPAﾑOLA;TIR;1.05;MILAGRO
ANIMAL BOTELLA;05AB;LA ESPAﾑOLA;TIR;1.05;MILAGRO
ANIMAL CRECEDOR;05ACR;LA ESPAﾑOLA;TIR;1.05;MILAGRO
ARETES TIRA;05AT;LA ESPAﾑOLA;TIR;1.05;MILAGRO
AROMATEL 900 BOT. FLORAL X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
AROMAX DUO  144PX4U;7.70235E+12;LA ESPAﾑOLA;UND;0.51;MILAGRO
AROMAX DUO  16PX40U;7.70235E+12;LA ESPAﾑOLA;UND;3.13;MILAGRO
AROMAX DUO  24TX24U;7.70235E+12;LA ESPAﾑOLA;UND;3.03;MILAGRO
AROMAX DUO  30PX10U;7.70235E+12;LA ESPAﾑOLA;UND;1.22;MILAGRO
AROMAX DUO 24PX20U;7.70235E+12;LA ESPAﾑOLA;UND;1.92;MILAGRO
AGENDA DE FUTBOL;6.60039E+12;LA ESPAﾑOLA;PAQ;2.6;MILAGRO
AGENDA PASTA BLANDA  KAWAI;6.60082E+12;LA ESPAﾑOLA;UND;4.62;MILAGRO
AGENDA PASTA DURA CUADROS/ DISEﾃ前S;6.6005E+12;LA ESPAﾑOLA;UND;3.59;MILAGRO
ALFAJORES 140GR BANDEJA;7.86214E+12;LA ESPAﾑOLA;UND;1.5;MILAGRO
ACON.CHOCO FRIZZ PROF.130ML;7.86212E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
ACON.TENTACION REC.TOTAL 130ML;7.86212E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
ACON.UVA FRIZZ PREMIUM 130ML;7.86212E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
ALISADOR CHOCO 125ML;7.86212E+12;LA ESPAﾑOLA;UND;24.95;MILAGRO
ALISADOR COCO 125ML;7.86212E+12;LA ESPAﾑOLA;UND;24.95;MILAGRO
ALISADOR ETERNITY 125ML;7.86212E+12;LA ESPAﾑOLA;UND;24.95;MILAGRO
AMARIGE ACOND. REC TOTAL 120ML;7.86212E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
AMARIGE SHAMPOO 120ML;7.86212E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
AGUA TONICA 2LT LIMTONIC (AZUL) X6U;7.86108E+12;LA ESPAﾑOLA;UND;1.87;MILAGRO
777 MEN 100ML X1U;8.95589E+11;LA ESPAﾑOLA;UND;6.67;MILAGRO
AQUARIUM FOUR HOMME 100ML X1U;14APH-Und.;LA ESPAﾑOLA;UND;6.67;MILAGRO
AGUA NAOW  625ML x15U;7.73644E+12;LA ESPAﾑOLA;UND;0.5;MILAGRO
ALCOHOL 1LT FERCEVSA  X12U;7.86212E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
ALCOHOL 250 CC FERCEVSA X48U;7.86212E+12;LA ESPAﾑOLA;UND;0.77;MILAGRO
ALCOHOL 250 GEL FERCEVSA X48U;7.86212E+12;LA ESPAﾑOLA;UND;2.04;MILAGRO
ALCOHOL 250 SPRAY FERCEVSA X48U;7.86212E+12;LA ESPAﾑOLA;UND;1.13;MILAGRO
ALCOHOL 3.8 LT FERCEVSA  X4U;7.86212E+12;LA ESPAﾑOLA;UND;8.57;MILAGRO
ALCOHOL GEL 20 LT FERCEVSA;131401;LA ESPAﾑOLA;UND;50.16;MILAGRO
ALCOHOL GEL 20 LT FULL CLEAN;2077;LA ESPAﾑOLA;UND;50.16;MILAGRO
ACEITE MAD.CLARAS MOEBEL  X24U;7.8611E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ACEITE ONLY-ONE 120 ML;7.8611E+12;LA ESPAﾑOLA;UND;1.38;MILAGRO
ACEITE ROJO MOEBEL  X24U;7.8611E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ADEREZO P/ENSALADA 300ML FERNANDOS;6.53982E+11;LA ESPAﾑOLA;UND;2.23;MILAGRO
AJI 100ML FERNANDOS X24U;6.53982E+11;LA ESPAﾑOLA;UND;1.03;MILAGRO
AJI 165 ML FERNANDOS X24U;6.53982E+11;LA ESPAﾑOLA;UND;1.44;MILAGRO
AC ACEIT ARGAN OIL 1000ML MEICYS X12U;7.70723E+12;LA ESPAﾑOLA;UND;9.82;MILAGRO
2 LASAGﾃ羨 200GR +CUBIERTOS;7.86103E+12;LA ESPAﾑOLA;UND;4.2;MILAGRO
ACEITE GIRASOL VERDE PAMPA 900ML X15U;7.86103E+12;LA ESPAﾑOLA;UND;2.85;MILAGRO
AFEIT. SCHICK XTREME III 12TX12;7.59107E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
ACEITU SACH C/HUES 220GR SNOB;7.861E+12;LA ESPAﾑOLA;UND;1.67;MILAGRO
ACEITU.FRASCO C/HUESO 240GR.;7.861E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
ACEITU.FRASCO S/HUESO 240GR. SNOB;7.861E+12;LA ESPAﾑOLA;UND;2.65;MILAGRO
ACEITU.SACHET RELLENA C/PIMIENT 220G SNOB;7.861E+12;LA ESPAﾑOLA;UND;1.67;MILAGRO
ACEITU.SACHET S/HUESO 220GR SNOB;7.861E+12;LA ESPAﾑOLA;UND;1.75;MILAGRO
AJI CON CHOCHO SNOB 310GR;7.861E+12;LA ESPAﾑOLA;UND;2.24;MILAGRO
AIRE ACONDIC. 18K TCL ALTA EFIC.;14AA18-Und.;LA ESPAﾑOLA;UND;456.92;MILAGRO
AIRE ACONDIC. 60 TBC 60ZCRA/U2I-C;5ACT60K;LA ESPAﾑOLA;UND;1466.25;MILAGRO
AMPLIFICADOR 4/CANAL KAC-7406 K;19048205568;LA ESPAﾑOLA;UND;154.74;MILAGRO
AJO GRANULADO DOﾃ羨 PETRA 50GR X10U;7.86211E+12;LA ESPAﾑOLA;UND;0.58;MILAGRO
AJO POLVO FCO  DOﾃ羨 PETRA 50GR X10U;7.86211E+12;LA ESPAﾑOLA;UND;1.02;MILAGRO
AGUA 1.2LT PURE WATER  X9U;7.86211E+12;LA ESPAﾑOLA;UND;0.44;MILAGRO
AGUA 6.000 ml  PURE WATER x4U;1.78621E+13;LA ESPAﾑOLA;UND;1.4;MILAGRO
AGUA 625ML PURE WATER  X12U;7.86107E+12;LA ESPAﾑOLA;UND;0.21;MILAGRO
AGUA 625ML PURE WATER  X15U;7.86107E+12;LA ESPAﾑOLA;UND;0.3;MILAGRO
AGUA GALON  PURE WATER X4U;7.86107E+12;LA ESPAﾑOLA;UND;0.93;MILAGRO
AFEITADORA FRESCO BARBA 2  12PX24U;7.868E+12;LA ESPAﾑOLA;PLA;2.57;MILAGRO
ABRILLANTADOR/LLANTAS 250ML FRESHCAR;7.86107E+12;LA ESPAﾑOLA;UND;4.89;MILAGRO
ACEITE LUCERA CUBRE RASGUﾃ前S 250ML.;7.86107E+12;LA ESPAﾑOLA;UND;1.64;MILAGRO
ACEITE MAD. CLARAS LUCERA 250ML.;7.86107E+12;LA ESPAﾑOLA;UND;1.64;MILAGRO
ACEITE ROJO LUCERA 250ML.;7.86107E+12;LA ESPAﾑOLA;UND;1.64;MILAGRO
AMB.FRESSITA CEREZA GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.FRESSITA CONO COCO VAINILLA;7.86107E+12;LA ESPAﾑOLA;UND;2.36;MILAGRO
AMB.FRESSITA CONO FRUTILLA;7.86107E+12;LA ESPAﾑOLA;UND;2.36;MILAGRO
AMB.FRESSITA CONO MZ.CANELA;7.86107E+12;LA ESPAﾑOLA;UND;2.36;MILAGRO
AMB.FRESSITA FLORAL GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.FRESSITA FRUTILLA GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.FRESSITA LAVANDA/ MANZANILLA GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.FRESSITA MANZ/CANELA GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.FRESSITA MANZANA GEL;7.86107E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AMB.AIRFRESH CANELAx144U;7.86211E+12;LA ESPAﾑOLA;UND;0.81;MILAGRO
AMB.AIRFRESH FRESAx144U;7.861E+12;LA ESPAﾑOLA;UND;0.81;MILAGRO
AMB.AIRFRESH FRUTASx144U;7.86211E+12;LA ESPAﾑOLA;UND;0.81;MILAGRO
AMB.AIRFRESH LIMONx144U;7.86211E+12;LA ESPAﾑOLA;UND;0.81;MILAGRO
AMB.AIRFRESH MANZANAx144U;7.861E+12;LA ESPAﾑOLA;UND;0.81;MILAGRO
ARMADORES P/ROPA TORPLAS;7.8611E+12;LA ESPAﾑOLA;UND;0.31;MILAGRO
ACEITE MAIZ ARCOR  890ML  X12U;7.79058E+12;LA ESPAﾑOLA;UND;1.47;MILAGRO
ALFAJOR BON O BON BLANCO X40U;7.79004E+12;LA ESPAﾑOLA;UND;0.56;MILAGRO
ALFAJOR BON O BON LECHE  X40U;7.79004E+12;LA ESPAﾑOLA;UND;0.56;MILAGRO
ALFAJOR BON O BON LECHE TIRA  X 4U;7.73644E+12;LA ESPAﾑOLA;TIR;1.75;MILAGRO
ALFAJOR GOLPE   X 56U;7.80223E+12;LA ESPAﾑOLA;UND;0.28;MILAGRO
ALFAJOR GOLPE TIRA  X 5U;7.73644E+12;LA ESPAﾑOLA;TIR;1.28;MILAGRO
ALKA MINI  LIMON 400GR X 5 DSP;7.75717E+12;LA ESPAﾑOLA;DSP;3.95;MILAGRO
ALKA MINI  MENTA 400GR X 5 DSP;7.75717E+12;LA ESPAﾑOLA;DSP;3.95;MILAGRO
ALKA MINI  MENTOL  400GR X 5 DSP;7.75717E+12;LA ESPAﾑOLA;DSP;3.95;MILAGRO
ALKA MINI LIMON TIRA X5U;91305334;LA ESPAﾑOLA;TIR;1.01;MILAGRO
ALKA MINI MENTA TIRA X5U;91305333;LA ESPAﾑOLA;TIR;1.01;MILAGRO
ALKA MINI MENTOL TIRA X5U;91305335;LA ESPAﾑOLA;TIR;1.01;MILAGRO
ANTOJO BON O BON 12DX330GX30U;7.75717E+12;LA ESPAﾑOLA;DSP;3.07;MILAGRO
***********SEDAL SH. CASPA 18ML SACHETx10U;7.861E+12;LA ESPAﾑOLA;TIR;2.55;MILAGRO
*AROMATEL 900ML PACK X2U MANZANA;7.861E+12;LA ESPAﾑOLA;PAQ;4.62;MILAGRO
AC SAVITAL 490ML MULTIOLEOS X12U;7.70201E+12;LA ESPAﾑOLA;UND;4.26;MILAGRO
ALCOHOL GEL REXONA C/P X 240 ML;7.861E+12;LA ESPAﾑOLA;UND;2.31;MILAGRO
ALCOHOL GEL REXONA S/P X 240 ML;7.861E+12;LA ESPAﾑOLA;UND;2.31;MILAGRO
ALCOHOL GEL REXONA X 60 ML;7.861E+12;LA ESPAﾑOLA;UND;0.46;MILAGRO
ALCOHOL REXONA 60ML  X12U;7.861E+12;LA ESPAﾑOLA;UND;1.11;MILAGRO
AROMATE 340ML LAVAN VAINI X30U;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 1.900ML COCO-BAMBU    X6U;7.861E+12;LA ESPAﾑOLA;UND;4.93;MILAGRO
AROMATEL 1.900ML FLORAL X6U;7.861E+12;LA ESPAﾑOLA;UND;4.93;MILAGRO
AROMATEL 1.900ML LAV-VAINILLA    X6U;7.861E+12;LA ESPAﾑOLA;UND;4.93;MILAGRO
AROMATEL 1.900ML MANDARINA     X6U;7.861E+12;LA ESPAﾑOLA;UND;4.93;MILAGRO
AROMATEL 340 ML COCO-BAMBU;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 340 ML FLORAL;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 340 ML FR.ROJOS;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 340 ML MANDARINA;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 370 ML COCO-BAMBU;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 370 ML FLORAL;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 370 ML FR.ROJOS;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 370 ML LAVANDA MORA;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 370 ML MANDARINA;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL 425ML COCO-BAMBU;7.861E+12;LA ESPAﾑOLA;UND;0.82;MILAGRO
AROMATEL 425ML FLORAL;7.861E+12;LA ESPAﾑOLA;UND;0.82;MILAGRO
AROMATEL 425ML FR.ROJOS;7.861E+12;LA ESPAﾑOLA;UND;0.82;MILAGRO
AROMATEL 425ML LAVANDA;7.861E+12;LA ESPAﾑOLA;UND;0.82;MILAGRO
AROMATEL 425ML MANDARINA/FL.;7.861E+12;LA ESPAﾑOLA;UND;0.82;MILAGRO
AROMATEL 425ML MANZANA VERDE;7.861E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AROMATEL 425ML X3 LAVANDA+ DET.350;7.86211E+12;LA ESPAﾑOLA;PAQ;3.1;MILAGRO
AROMATEL 550ML LAVANDA MORA;7.861E+12;LA ESPAﾑOLA;UND;1.2;MILAGRO
AROMATEL 900 D.PACK COCO-BAMBU X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900 D.PACK FLORAL X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900 D.PACK FR. ROJOS X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900 D.PACK LAV-VAINILLA X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900 D.PACK LAVANDA/MORA X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900 D.PACK MANDARINA X10U;7.861E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
AROMATEL 900ML BOT.FR.ROJOS   X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
AROMATEL 900ML BOT.LAVANDA   X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
AROMATEL 900ML BOT.MANDARINA/FL X12U;7.861E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
AROMATEL 900ML BOT.MANZANA   X12U;7.86211E+12;LA ESPAﾑOLA;UND;2.48;MILAGRO
AROMATEL 900ML PACK X2U COCO-BAMBU;7.861E+12;LA ESPAﾑOLA;PAQ;4.5;MILAGRO
AROMATEL 900ML PACK X2U FLORAL;7.861E+12;LA ESPAﾑOLA;PAQ;4.5;MILAGRO
AROMATEL 900ML PACK X2U FR.ROJOS;7.861E+12;LA ESPAﾑOLA;PAQ;4.5;MILAGRO
AROMATEL 900ML PACK X2U LAVANDA;7.861E+12;LA ESPAﾑOLA;PAQ;4.5;MILAGRO
AROMATEL 900ML PACK X2U MANDARINA;7.861E+12;LA ESPAﾑOLA;PAQ;4.5;MILAGRO
AROMATEL CELEST 1650ML     X8U;7.861E+12;LA ESPAﾑOLA;UND;4.74;MILAGRO
AROMATEL COCO-BAMBU 115 ML;7.861E+12;LA ESPAﾑOLA;UND;0.37;MILAGRO
AROMATEL COCO-BAMBU TIRA 50ML;7.861E+12;LA ESPAﾑOLA;TIR;2.05;MILAGRO
AROMATEL FLORAL 150 ML;7.861E+12;LA ESPAﾑOLA;UND;0.43;MILAGRO
AROMATEL FLORAL TIRA 40ML;7.861E+12;LA ESPAﾑOLA;TIR;1.9;MILAGRO
AROMATEL FR. ROJOS 50ML TIRA X10U;7.861E+12;LA ESPAﾑOLA;TIR;2.05;MILAGRO
AROMATEL FR.ROJOS 150 ML;7.861E+12;LA ESPAﾑOLA;UND;0.43;MILAGRO
AROMATEL FR.ROJOS 1650ML     X8U;7.70235E+12;LA ESPAﾑOLA;UND;4.74;MILAGRO
AROMATEL LAV-VAINILLA 150 ML;7.861E+12;LA ESPAﾑOLA;UND;0.43;MILAGRO
AROMATEL LAVAN/VAINI 370ML X30U;7.861E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
AROMATEL LAVANDA 115 ML;7.861E+12;LA ESPAﾑOLA;UND;0.37;MILAGRO
AROMATEL LAVANDA 150 ML;7.861E+12;LA ESPAﾑOLA;UND;0.43;MILAGRO
